Year,Month, CerroPrieto.EvaporationRate,Riego.FractionalReturnFlow,CerroPrieto.Release,LaBoca.Release,LaBoca.Evaporation,PozosAreaMetropolitana.Percolation,AreaMetropolitanadeMonterrey.FractionalReturnFlow,AreaMetropolitanadeMonterrey.AvailableSupplementalWater, DR031.FractionalReturnFlow,DR031.Diversion,ElCuchillo.EvaporationRate,AcueductoRegionalChinaAldama.FractionalReturnFlow,AcueductoRegionalChinaAldama.Diversion,DR026.Diversion,DR026.FractionalReturnFlow
1,1,-0.07641,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.10442,1,0.339,35,1
1,2,0.13188,1,0.75,0,0.542,1.879452055,0.71,0.26,1,2,0.14151,1,0.339,35,1
1,3,0.19156,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.18953,1,0.339,35,1
1,4,0.25711,1,0.75,0,0.542,2.01369863,0.71,0.26,1,2,0.28811,1,0.339,35,1
1,5,0.13794,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.27188,1,0.339,35,1
1,6,0.18202,1,0.75,0,0.542,2.01369863,0.71,0.26,1,2,0.20371,1,0.339,35,1
1,7,0.1223,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.31375,1,0.339,35,1
1,8,0.15485,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.0646,1,0.339,35,1
1,9,-0.09062,1,0.75,0,0.542,2.01369863,0.71,0.26,1,2,0.17929,1,0.339,35,1
1,10,0.10496,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.17378,1,0.339,35,1
1,11,0.09422,1,0.75,0,0.542,2.01369863,0.71,0.26,1,2,0.12526,1,0.339,35,1
1,12,0.07995,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.06993,1,0.339,35,1
2,1,0.02869,1,0.75,0,0.542,2.075136612,0.71,0.26,1,2,0.31332,1,0.339,35,1
2,2,0.04903,1,0.75,0,0.542,1.941256831,0.71,0.26,1,2,0.05078,1,0.339,35,1
2,3,0.15703,1,0.75,0,0.542,2.075136612,0.71,0.26,1,2,-0.04324,1,0.339,35,1
2,4,-0.049,1,0.75,0,0.498,2.008196721,0.71,0.26,1,2,0.06629,1,0.339,35,1
2,5,0.06419,1,0.75,0,0.4765,2.075136612,0.71,0.26,1,2,0.11343,1,0.339,35,1
2,6,0.07443,1,0.75,0,0.4765,2.008196721,0.71,0.26,1,2,0.12955,1,0.339,35,1
2,7,0.2165,1,0.75,0,0.454,2.075136612,0.71,0.26,1,2,0.1342,1,0.339,35,1
2,8,0.21558,1,0.75,0,0.454,2.075136612,0.71,0.26,1,2,0.15732,1,0.339,35,1
2,9,0.14075,1,0.75,0,0.454,2.008196721,0.71,0.26,1,2,0.24817,1,0.339,35,1
2,10,0.10415,1,0.75,0,0.498,2.075136612,0.71,0.26,1,2,0.31198,1,0.339,35,1
2,11,0.12123,1,0.75,0,0.542,2.008196721,0.71,0.26,1,2,0.26752,1,0.339,35,1
2,12,0.04852,1,0.75,0,0.542,2.075136612,0.71,0.26,1,2,0.35318,1,0.339,35,1
3,1,0.09431,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.2769,1,0.339,35,1
3,2,0.08353,1,0.75,0,0.597,1.879452055,0.71,0.26,1,2,0.03964,1,0.339,35,1
3,3,0.16763,1,0.75,0,0.597,2.080821918,0.71,0.26,1,2,-0.04427,1,0.339,35,1
3,4,0.10976,1,0.75,0,0.597,2.01369863,0.71,0.26,1,2,0.00246,1,0.339,35,1
3,5,0.10794,1,0.75,0,0.733,2.080821918,0.71,0.26,1,2,0.07964,1,0.339,35,1
3,6,-0.02457,1,0.75,0,0.733,2.01369863,0.71,0.26,1,2,0.1347,1,0.339,35,1
3,7,0.2687,1,0.75,0,0.733,2.080821918,0.71,0.26,1,2,0.13841,1,0.339,35,1
3,8,0.19437,1,0.75,0,0.733,2.080821918,0.71,0.26,1,2,0.15148,1,0.339,35,1
3,9,0.15145,1,0.75,0,0.733,2.01369863,0.71,0.26,1,2,0.24818,1,0.339,35,1
3,10,0.02885,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.19446,1,0.339,35,1
3,11,0.06098,1,0.75,0,0.733,2.01369863,0.71,0.26,1,2,0.3004,1,0.339,35,1
3,12,-0.01234,1,0.75,0,0.733,2.080821918,0.71,0.26,1,2,0.22977,1,0.339,35,1
4,1,0.04724,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.31261,1,0.339,35,1
4,2,0.06948,1,0.75,0,0.542,1.879452055,0.71,0.26,1,2,0.16675,1,0.339,35,1
